id,nhogar,miembro,comuna,dominio,edad,sexo,parentes_2,p5_2,p6_a,p6_b,estado,categori,t13,t14,t18,t28,t29,t29a,t30,sem_hs,t33,t34,t35,t37_cod_2,t37_coda_2,t38,t39,t40,t41_cod_2,t47,t48,t51_bis,i1,i4,i6_3,i10,i11,codioph,ioph_2,codioph_neto,ioph_neto_2,codios,ios_2,codioa,ioa_2,codlab,inglab_2,codi3_1x,i3_1x_2,codi3_2x,i3_2x_2,codi3_8x,i3_8x_2,codi3_est,i3_est_2,codi3_otr,i3_otr_2,codnolab,ingnolab_2,coding,ingtot_2,codi_tot,itfb_2,ipcfb_2,e2,e4,e6,e8,e12,e13,e14,edad_30,nivel,aesc,m1,m1_2,m2_anio,m3_anio,tipcob2_2,sn1_1,sn1_7,sn1_2,sn1_3,sn1_4,sn1_5,s8,sn14,sn16,s28,s29,fexp,sexotexto
1,1,1,13,resto ciudad,18,mujer,1,6,95,95,ocupado,3,0,0,0,0,0,0,2,8,1,1,2,9700,9,0,0,0,57314,0,0,3,1,0,2,0,0,1,1200,1,1200,1,180,2,0,1,1380,2,0,2,0,1,3000,2,0,2,0,1,3000,1,4380,1,4380,4380,1,1,12,1,No corresponde,0,0,18,6,12,1,1,0,2016,4,2,2,2,1,2,2,2,0,Excelente,2,0,973,mujer
2,1,1,1,resto ciudad,18,varon,1,6,95,95,inactivo,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,1,9000,2,0,2,0,1,9000,1,9000,1,9000,9000,1,3,13,1,No corresponde,0,0,17,6,12,5,5,2016,2016,4,2,2,2,1,2,2,2,0,Excelente,0,0,115,varon
3,1,1,6,inquilinatos hoteles inmuebles tomados,18,mujer,1,6,95,95,ocupado,3,0,0,0,0,0,0,2,32,1,1,1,9700,9,0,0,0,57314,0,0,3,1,0,2,0,0,1,1650,1,1650,1,2400,2,0,1,4050,2,0,2,0,2,0,1,780,2,0,1,780,1,4830,1,4830,4830,1,1,13,11,No corresponde,0,0,18,6,12,6,6,0,2016,1,2,2,2,2,2,2,2,0,Excelente,2,0,223,mujer
4,1,1,14,resto ciudad,18,varon,1,6,95,95,inactivo,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,9,15000,2,0,2,0,9,15000,9,15000,9,15000,15000,1,2,13,1,No corresponde,0,0,18,6,12,3,3,0,2016,4,2,2,2,1,2,2,2,0,Excelente,0,0,421,varon
5,1,1,2,resto ciudad,18,varon,1,6,95,95,inactivo,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,1,15000,2,0,2,0,1,15000,1,15000,1,15000,15000,1,3,13,1,No corresponde,0,0,18,6,12,2,2,0,2016,4,2,2,2,1,2,2,2,0,Bueno,0,0,199,varon
6,1,1,13,resto ciudad,18,mujer,1,6,95,95,desocupado,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,500,1,500,2,0,2,0,1,5000,2,0,2,0,1,5000,1,5500,9,23500,11750,2,0,0,0,Secundario/ medio común,1,0,18,5,12,3,3,0,2016,2,1,2,2,2,2,2,2,0,Bueno,2,0,314,mujer
6,1,2,13,resto ciudad,24,varon,7,6,95,95,ocupado,3,0,0,0,0,0,0,2,64,2,0,2,9301,8,2,2,3,51312,0,0,1,1,0,2,0,0,1,9000,1,9000,9,9000,2,0,9,18000,2,0,2,0,2,0,2,0,2,0,2,0,9,18000,9,23500,11750,2,0,0,0,Universitario,2,1,24,6,13,3,3,0,2010,2,1,2,2,2,2,2,2,0,Excelente,0,0,314,varon
7,1,1,7,resto ciudad,18,mujer,1,3,95,95,inactivo,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,1,700,2,0,1,2000,1,2700,1,2700,1,2700,900,2,0,0,0,Secundario/ medio común,2,2,18,4,9,1,1,0,1,1,2,2,2,2,2,2,2,0,Bueno,1,2,272,mujer
7,1,2,7,resto ciudad,2,varon,3,0,95,1,inactivo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2700,900,1,1,16,0,No corresponde,0,0,2,1,0,1,1,0,1,1,2,2,2,2,2,2,2,0,Excelente,0,0,272,varon
7,1,3,7,resto ciudad,1,varon,3,0,95,1,inactivo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2700,900,3,0,0,0,No corresponde,0,0,1,8,0,1,1,0,1,1,2,2,2,2,2,2,2,0,Excelente,0,0,272,varon
7,2,1,7,resto ciudad,56,mujer,1,3,0,0,ocupado,3,0,0,0,1,1,2,0,0,0,0,2,9700,9,0,0,0,55314,0,0,3,1,0,2,0,0,9,5000,9,5000,0,0,2,0,9,5000,2,0,2,0,2,0,1,800,2,0,1,800,9,5800,9,5800,5800,2,0,0,0,Secundario/ medio adultos,2,1,55,4,8,99,99,0,9999,1,2,2,2,2,2,2,2,0,Malo,1,1,272,mujer
8,1,1,4,resto ciudad,18,mujer,1,6,95,95,desocupado,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,1,4000,2,0,2,0,1,4000,1,4000,1,8000,4000,2,0,0,0,Secundario/ medio común,2,4,18,4,11,1,1,0,1,3,2,1,2,2,2,2,2,0,Muy bueno,2,0,139,mujer
8,1,2,4,resto ciudad,20,mujer,7,6,95,95,desocupado,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,1,4000,2,0,2,0,1,4000,1,4000,1,8000,4000,1,1,13,11,No corresponde,0,0,20,6,12,1,1,0,1,3,2,1,2,2,2,2,2,0,Muy bueno,2,0,139,mujer
9,1,1,1,resto ciudad,18,mujer,1,6,95,95,desocupado,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1000,1,1000,2,0,2,0,2,0,2,0,2,0,2,0,1,1000,1,11500,3833,2,0,0,0,Secundario/ medio común,2,2,17,4,9,3,3,0,2013,1,2,2,2,2,2,2,2,0,Muy bueno,2,0,126,mujer
9,1,2,1,resto ciudad,22,mujer,7,3,95,95,ocupado,3,0,0,0,0,0,0,1,48,2,0,2,4807,3,2,2,2,30334,0,0,1,1,0,2,0,0,1,8000,1,8000,0,0,2,0,1,8000,2,0,2,0,1,2500,2,0,2,0,1,2500,1,10500,1,11500,3833,2,0,0,0,Secundario/ medio común,2,4,21,4,11,3,3,0,2000,1,2,2,2,2,2,2,2,0,Muy bueno,1,1,126,mujer
9,1,3,1,resto ciudad,4,mujer,7,0,95,2,inactivo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11500,3833,1,1,18,0,No corresponde,0,0,4,1,0,1,1,0,1,1,2,2,2,2,2,2,2,0,Excelente,0,0,126,mujer
