random_id,motivacion,conectado,sexojefe,edadjefe,jefesabeleer,jefesabeescribir,pdiasfueaescuela
1,0 Hogar no motivado,0 Hogar no conectado,1 = Male,37,1 = Yes,1 = Yes,
3,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,45,0 = No,0 = No,57.14286
5,0 Hogar no motivado,0 Hogar no conectado,1 = Male,50,1 = Yes,1 = Yes,85.714287
7,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,54,1 = Yes,1 = Yes,85.714287
8,0 Hogar no motivado,0 Hogar no conectado,2 = Female,66,0 = No,0 = No,
9,0 Hogar no motivado,0 Hogar no conectado,1 = Male,80,1 = Yes,1 = Yes,
10,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,29,1 = Yes,1 = Yes,
11,0 Hogar no motivado,1 Hogar conectado,1 = Male,52,1 = Yes,1 = Yes,71.428574
12,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,66,0 = No,0 = No,
14,0 Hogar no motivado,0 Hogar no conectado,1 = Male,42,1 = Yes,1 = Yes,42.857143
15,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,43,1 = Yes,1 = Yes,
16,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,25,1 = Yes,1 = Yes,
18,0 Hogar no motivado,0 Hogar no conectado,1 = Male,26,1 = Yes,1 = Yes,
21,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,51,1 = Yes,1 = Yes,71.428574
22,0 Hogar no motivado,0 Hogar no conectado,2 = Female,,0 = No,0 = No,
23,1 Hogar en grupo motivacion,0 Hogar no conectado,1 = Male,52,1 = Yes,1 = Yes,
24,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,69,0 = No,0 = No,
25,1 Hogar en grupo motivacion,0 Hogar no conectado,1 = Male,49,0 = No,0 = No,
26,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,45,1 = Yes,1 = Yes,57.14286
27,1 Hogar en grupo motivacion,0 Hogar no conectado,1 = Male,40,1 = Yes,1 = Yes,14.285715
28,0 Hogar no motivado,0 Hogar no conectado,1 = Male,90,0 = No,0 = No,42.857143
29,1 Hogar en grupo motivacion,0 Hogar no conectado,1 = Male,56,1 = Yes,1 = Yes,71.428574
30,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,78,0 = No,0 = No,
31,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,57,1 = Yes,1 = Yes,71.428574
33,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,24,1 = Yes,1 = Yes,57.14286
34,0 Hogar no motivado,0 Hogar no conectado,2 = Female,60,0 = No,0 = No,
35,0 Hogar no motivado,0 Hogar no conectado,2 = Female,53,1 = Yes,1 = Yes,
36,1 Hogar en grupo motivacion,0 Hogar no conectado,1 = Male,,0 = No,0 = No,
37,0 Hogar no motivado,0 Hogar no conectado,2 = Female,42,0 = No,0 = No,
38,0 Hogar no motivado,1 Hogar conectado,1 = Male,43,1 = Yes,1 = Yes,71.428574
40,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,47,1 = Yes,1 = Yes,14.285715
41,1 Hogar en grupo motivacion,1 Hogar conectado,2 = Female,87,0 = No,0 = No,71.428574
42,1 Hogar en grupo motivacion,0 Hogar no conectado,2 = Female,68,0 = No,0 = No,
43,0 Hogar no motivado,0 Hogar no conectado,2 = Female,43,1 = Yes,1 = Yes,
45,1 Hogar en grupo motivacion,0 Hogar no conectado,1 = Male,38,1 = Yes,1 = Yes,
46,1 Hogar en grupo motivacion,0 Hogar no conectado,1 = Male,41,1 = Yes,1 = Yes,
47,1 Hogar en grupo motivacion,0 Hogar no conectado,1 = Male,51,0 = No,0 = No,
49,1 Hogar en grupo motivacion,1 Hogar conectado,2 = Female,38,1 = Yes,1 = Yes,14.285715
51,1 Hogar en grupo motivacion,1 Hogar conectado,2 = Female,56,1 = Yes,1 = Yes,
52,1 Hogar en grupo motivacion,0 Hogar no conectado,2 = Female,80,0 = No,0 = No,
53,0 Hogar no motivado,0 Hogar no conectado,1 = Male,55,1 = Yes,1 = Yes,
54,0 Hogar no motivado,0 Hogar no conectado,1 = Male,57,1 = Yes,1 = Yes,
55,0 Hogar no motivado,1 Hogar conectado,1 = Male,28,1 = Yes,1 = Yes,
56,0 Hogar no motivado,0 Hogar no conectado,1 = Male,58,1 = Yes,1 = Yes,28.57143
58,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,41,1 = Yes,1 = Yes,
59,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,41,1 = Yes,1 = Yes,71.428574
60,0 Hogar no motivado,0 Hogar no conectado,1 = Male,71,1 = Yes,1 = Yes,
62,1 Hogar en grupo motivacion,1 Hogar conectado,2 = Female,70,0 = No,0 = No,
63,0 Hogar no motivado,0 Hogar no conectado,1 = Male,56,0 = No,0 = No,
65,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,70,1 = Yes,1 = Yes,
66,1 Hogar en grupo motivacion,0 Hogar no conectado,1 = Male,39,0 = No,0 = No,71.428574
